Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana
586030,Archlebov,752,416,415,25,0,0,47,1,12,49,9,2,3,1,1,39
586048,Blatnice pod Svatým Antonínkem,1733,1066,1055,101,1,1,70,4,50,61,7,9,42,0,2,74
586056,Blatnička,356,239,238,16,0,0,14,0,10,17,3,0,1,0,0,23
586072,Bukovany,618,380,372,35,0,0,43,0,5,42,4,5,3,0,0,52
586081,Bzenec,3501,2016,2004,235,4,1,153,2,72,181,17,15,23,0,0,135
586099,Čejč,1019,643,630,70,0,0,42,0,35,61,10,5,6,0,1,78
586102,Čejkovice,2107,1258,1256,164,3,2,80,0,51,107,15,15,21,1,0,112
586111,Čeložnice,337,217,216,11,0,0,12,1,13,21,1,5,5,0,0,16
586129,Dambořice,1079,634,624,19,0,1,65,2,19,47,5,7,6,0,1,38
586137,Dolní Bojanovice,2349,1566,1530,73,5,0,61,0,102,54,15,4,35,1,5,91
586145,Domanín,804,488,488,33,0,1,35,1,17,51,0,3,4,0,0,33
586153,Dražůvky,229,133,131,8,0,1,18,0,11,8,3,1,4,0,0,12
586161,Dubňany,5251,2994,2966,241,16,4,269,1,46,413,36,22,46,7,7,239
586021,Hodonín,20697,11107,11022,1017,105,10,984,3,255,1104,141,50,275,7,30,843
586170,Hovorany,1798,1212,1207,119,1,1,80,0,35,119,7,14,13,0,0,130
586188,Hroznová Lhota,1003,625,620,42,2,1,62,1,17,44,3,5,4,0,0,37
586196,Hrubá Vrbka,495,267,266,4,0,0,17,0,26,36,3,4,2,1,0,17
586200,Hýsly,325,181,180,22,0,0,15,0,12,12,1,3,6,0,1,17
586218,Javorník,584,338,337,15,0,0,32,0,40,54,4,5,8,1,0,16
586226,Ježov,595,345,342,20,0,1,29,0,7,22,6,3,13,0,1,24
586234,Josefov,349,253,252,24,0,0,12,0,8,9,6,2,3,0,0,25
586242,Karlín,182,120,119,7,0,0,12,1,7,17,0,1,2,0,0,10
586251,Kelčany,202,124,123,17,0,0,10,0,3,14,1,1,3,0,0,11
586269,Kněždub,924,501,497,21,0,0,32,0,21,22,2,7,1,0,1,24
586277,Kostelec,722,502,499,78,0,0,48,1,16,34,2,5,10,0,0,44
586285,Kozojídky,404,261,261,12,1,0,20,0,14,8,3,2,0,0,0,17
586293,Kuželov,348,205,202,8,1,0,10,0,16,14,0,0,2,0,0,4
586307,Kyjov,9393,5874,5825,753,7,5,495,5,164,582,73,35,80,3,4,550
586315,Labuty,152,80,79,2,0,0,5,0,8,15,1,0,0,1,0,8
586323,Lipov,1223,780,776,101,3,1,107,0,25,52,1,8,4,0,0,60
586331,Louka,815,515,514,19,0,0,55,0,29,29,5,3,9,0,0,38
586340,Lovčice,655,501,495,28,0,0,225,0,3,33,5,0,1,0,1,21
586358,Lužice,2354,1310,1304,147,6,0,79,3,34,102,10,8,18,1,2,141
586366,Malá Vrbka,136,99,98,5,0,0,9,0,3,15,1,0,0,0,1,5
586374,Mikulčice,1590,984,979,68,7,0,63,0,36,79,17,4,29,1,4,93
586382,Milotice,1593,927,924,94,3,0,53,1,31,64,12,8,19,0,1,64
586391,Moravany,611,360,354,40,1,1,21,0,12,26,4,4,9,0,0,17
586404,Moravský Písek,1708,1042,1030,63,4,0,115,1,38,109,10,12,3,1,1,82
593354,Mouchnice,260,144,144,5,0,0,21,0,8,24,1,3,2,0,0,8
586412,Mutěnice,3050,1895,1883,233,14,0,122,1,46,112,14,10,145,0,1,131
586421,Násedlovice,705,445,440,24,1,0,63,0,17,24,7,2,1,0,0,27
586439,Nechvalín,281,185,182,16,0,0,52,0,1,12,0,1,0,0,0,7
586447,Nenkovice,381,234,234,25,0,0,20,0,9,21,1,2,7,0,1,10
586455,Nová Lhota,562,291,289,15,1,0,13,0,73,23,1,2,1,1,1,7
586463,Nový Poddvorov,159,97,97,8,0,0,11,0,4,4,1,0,1,0,0,13
586471,Ostrovánky,184,128,126,11,0,0,13,0,5,25,0,0,0,0,0,6
586480,Petrov,1123,650,646,59,6,0,50,0,26,51,5,2,15,0,0,61
586498,Prušánky,1792,1098,1087,94,9,2,97,0,64,68,11,9,19,0,1,95
586501,Radějov,723,429,425,24,0,3,27,0,38,42,7,0,6,0,0,36
586510,Ratíškovice,3330,2096,2073,168,5,2,124,0,44,153,23,14,31,4,1,144
586528,Rohatec,2913,1731,1719,150,18,1,152,1,42,117,17,15,44,1,3,129
586536,Skalka,137,77,75,9,0,0,5,0,4,8,0,0,0,0,0,7
586544,Skoronice,436,292,292,22,0,1,23,0,16,16,5,1,4,0,0,44
586552,Sobůlky,716,447,442,22,1,0,42,0,15,53,5,5,4,0,0,25
586561,Starý Poddvorov,802,465,463,24,1,1,30,0,13,44,5,4,6,0,2,38
586579,Stavěšice,303,182,182,20,0,0,12,0,4,31,1,2,2,0,0,10
586587,Strážnice,4584,2976,2936,330,7,3,221,2,103,223,34,18,49,1,8,385
586595,Strážovice,473,333,333,42,1,0,39,0,5,27,3,1,5,0,0,19
586609,Sudoměřice,992,599,594,39,10,1,45,0,17,57,6,6,9,0,1,42
586617,Suchov,415,190,190,12,0,0,15,0,12,15,1,1,1,0,0,9
586625,Svatobořice-Mistřín,2890,1789,1776,131,6,1,152,0,51,201,18,12,21,1,6,109
586633,Syrovín,297,173,171,10,1,0,21,0,8,24,0,1,4,0,0,10
586641,Šardice,1811,1149,1137,83,0,0,128,0,13,192,8,15,18,4,5,61
586650,Tasov,456,279,277,11,0,0,13,0,8,22,2,3,3,0,0,17
586668,Těmice,728,438,435,28,0,0,42,0,12,26,5,1,3,1,1,26
586676,Terezín,336,216,212,17,0,0,27,0,12,21,3,2,0,0,1,22
586684,Tvarožná Lhota,744,449,445,21,0,2,26,1,32,34,4,4,2,0,0,35
586692,Uhřice,587,359,358,27,0,0,71,0,7,24,5,3,2,0,0,20
586706,Vacenovice,1785,1150,1142,256,4,0,76,2,17,83,7,1,12,1,3,59
586714,Velká nad Veličkou,2414,1385,1382,107,1,2,117,1,81,180,21,2,18,3,1,101
586722,Veselí nad Moravou,9312,5321,5276,404,9,3,538,0,147,442,41,42,55,6,2,457
586731,Věteřov,412,276,275,13,0,0,52,0,5,25,1,3,3,0,1,23
586749,Vlkoš,869,497,493,32,1,1,67,0,10,40,6,1,8,0,2,42
586757,Vnorovy,2464,1492,1482,100,2,1,103,0,52,75,11,9,21,2,2,115
586765,Vracov,3712,2105,2098,242,3,0,168,2,59,205,30,11,29,2,4,151
586773,Vřesovice,506,291,287,16,0,0,35,1,16,33,6,3,6,1,0,22
586781,Žádovice,631,356,351,20,0,0,22,0,10,48,4,2,6,0,2,26
586790,Žarošice,872,556,554,52,0,0,83,0,20,38,6,3,3,0,1,49
586803,Ždánice,2079,1258,1250,146,2,1,171,1,34,140,16,13,16,0,0,82
586811,Želetice,428,279,277,17,0,0,23,0,16,25,3,6,2,2,1,21
586820,Žeravice,858,530,524,54,0,0,41,4,21,53,2,5,12,0,2,36
586838,Žeraviny,167,105,105,1,0,0,18,0,2,4,1,1,2,0,0,5
